code,name,:LABEL
E01000409,Bexley 016C,LSOA
E01000410,Bexley 018D,LSOA
E01000411,Bexley 016D,LSOA
E01000412,Bexley 018E,LSOA
E01000413,Bexley 018F,LSOA
E01000414,Bexley 016E,LSOA
E01000415,Bexley 016F,LSOA
E01000416,Bexley 002A,LSOA
E01000417,Bexley 006B,LSOA
E01000418,Bexley 002B,LSOA
E01000419,Bexley 006C,LSOA
E01000420,Bexley 006D,LSOA
E01000421,Bexley 009D,LSOA
E01000422,Bexley 002C,LSOA
E01000423,Bexley 025C,LSOA
E01000424,Bexley 026A,LSOA
E01000425,Bexley 025D,LSOA
E01000426,Bexley 026B,LSOA
E01000427,Bexley 026C,LSOA
E01000428,Bexley 027D,LSOA
E01000429,Bexley 008B,LSOA
E01000430,Bexley 008C,LSOA
E01000431,Bexley 008D,LSOA
E01000433,Bexley 008F,LSOA
E01000434,Bexley 008G,LSOA
E01000435,Bexley 010E,LSOA
E01000436,Bexley 011E,LSOA
E01000437,Bexley 007A,LSOA
E01000438,Bexley 007B,LSOA
E01000439,Bexley 007C,LSOA
E01000440,Bexley 007D,LSOA
E01000441,Bexley 007E,LSOA
E01000442,Bexley 006E,LSOA
E01000443,Bexley 024B,LSOA
E01000444,Bexley 023B,LSOA
E01000445,Bexley 024C,LSOA
E01000446,Bexley 024D,LSOA
E01000447,Bexley 023C,LSOA
E01000448,Bexley 023D,LSOA
E01000449,Bexley 023E,LSOA
E01000450,Bexley 009E,LSOA
E01000451,Bexley 009F,LSOA
E01000452,Bexley 009G,LSOA
E01000453,Bexley 013B,LSOA
E01000454,Bexley 013C,LSOA
E01000455,Bexley 013D,LSOA
E01000456,Bexley 013E,LSOA
E01000457,Bexley 026D,LSOA
E01000458,Bexley 027E,LSOA
E01000459,Bexley 027F,LSOA
E01000460,Bexley 022E,LSOA
E01000461,Bexley 024E,LSOA
E01000462,Bexley 026E,LSOA
E01000463,Bexley 025E,LSOA
E01000464,Bexley 002D,LSOA
E01000465,Bexley 002E,LSOA
E01000466,Bexley 001A,LSOA
E01000467,Bexley 001B,LSOA
E01000468,Bexley 001C,LSOA
E01000469,Bexley 001D,LSOA
E01000470,Bexley 002F,LSOA
E01000471,Brent 026A,LSOA
E01000472,Brent 029A,LSOA
E01000473,Brent 029B,LSOA
E01000474,Brent 026B,LSOA
E01000475,Brent 029C,LSOA
E01000476,Brent 026C,LSOA
E01000477,Brent 026D,LSOA
E01000478,Brent 029D,LSOA
E01000479,Brent 009A,LSOA
E01000480,Brent 006A,LSOA
E01000481,Brent 009B,LSOA
E01000483,Brent 009D,LSOA
E01000484,Brent 006B,LSOA
E01000485,Brent 006C,LSOA
E01000486,Brent 006D,LSOA
E01000487,Brent 006E,LSOA
E01000488,Brent 022A,LSOA
E01000489,Brent 030A,LSOA
E01000490,Brent 023A,LSOA
E01000491,Brent 030B,LSOA
E01000492,Brent 030C,LSOA
E01000493,Brent 030D,LSOA
E01000494,Brent 023B,LSOA
E01000495,Brent 023C,LSOA
E01000497,Brent 011A,LSOA
E01000498,Brent 010B,LSOA
E01000499,Brent 011B,LSOA
E01000501,Brent 011C,LSOA
E01000502,Brent 011D,LSOA
E01000503,Brent 011E,LSOA
E01000504,Brent 018A,LSOA
E01000505,Brent 018B,LSOA
E01000506,Brent 014A,LSOA
E01000507,Brent 018C,LSOA
E01000508,Brent 025A,LSOA
E01000509,Brent 014B,LSOA
E01000510,Brent 014C,LSOA
E01000511,Brent 014D,LSOA
E01000512,Brent 018D,LSOA
E01000513,Brent 002A,LSOA
E01000514,Brent 002B,LSOA
E01000515,Brent 003A,LSOA
E01000516,Brent 002C,LSOA
E01000517,Brent 003B,LSOA
E01000518,Brent 005A,LSOA
E01000519,Brent 005B,LSOA
E01000520,Brent 002D,LSOA
E01000521,Brent 025B,LSOA
E01000522,Brent 025C,LSOA
E01000523,Brent 031A,LSOA
E01000524,Brent 031B,LSOA
E01000525,Brent 031C,LSOA
E01000526,Brent 025D,LSOA
E01000527,Brent 025E,LSOA
E01000528,Brent 025F,LSOA
E01000530,Brent 033A,LSOA
E01000531,Brent 033B,LSOA
E01000532,Brent 033C,LSOA
E01000533,Brent 031E,LSOA
E01000534,Brent 033D,LSOA
E01000535,Brent 031F,LSOA
E01000536,Brent 004A,LSOA
E01000538,Brent 004B,LSOA
E01000539,Brent 004C,LSOA
E01000540,Brent 004D,LSOA
E01000541,Brent 004E,LSOA
E01000543,Brent 003E,LSOA
E01000544,Brent 034A,LSOA
E01000545,Brent 028A,LSOA
E01000546,Brent 028B,LSOA
E01000547,Brent 028C,LSOA
E01000548,Brent 028D,LSOA
E01000549,Brent 028E,LSOA
E01000550,Brent 034B,LSOA
E01000551,Brent 034C,LSOA
E01000552,Brent 034D,LSOA
E01000553,Brent 015A,LSOA
E01000554,Brent 015B,LSOA
E01000555,Brent 015C,LSOA
E01000556,Brent 015D,LSOA
E01000557,Brent 015E,LSOA
E01000558,Brent 015F,LSOA
E01000559,Brent 018E,LSOA
E01000560,Brent 023D,LSOA
E01000561,Brent 023E,LSOA
E01000562,Brent 008A,LSOA
E01000563,Brent 008B,LSOA
E01000564,Brent 013A,LSOA
E01000565,Brent 013B,LSOA
E01000566,Brent 008C,LSOA
E01000567,Brent 016A,LSOA
E01000568,Brent 008D,LSOA
E01000569,Brent 008E,LSOA
E01000570,Brent 012A,LSOA
E01000571,Brent 012B,LSOA
E01000572,Brent 007A,LSOA
E01000573,Brent 007B,LSOA
E01000574,Brent 007C,LSOA
E01000575,Brent 007D,LSOA
E01000576,Brent 012C,LSOA
E01000577,Brent 007E,LSOA
E01000578,Brent 012D,LSOA
E01000579,Brent 032A,LSOA
E01000580,Brent 032B,LSOA
E01000581,Brent 030E,LSOA
E01000582,Brent 032C,LSOA
E01000583,Brent 032D,LSOA
E01000584,Brent 033E,LSOA
E01000585,Brent 033F,LSOA
E01000586,Brent 032E,LSOA
E01000587,Brent 001A,LSOA
E01000589,Brent 001B,LSOA
E01000590,Brent 001C,LSOA
E01000591,Brent 003F,LSOA
E01000592,Brent 001D,LSOA
E01000593,Brent 001E,LSOA
E01000594,Brent 001F,LSOA
E01000595,Brent 027A,LSOA
E01000596,Brent 021A,LSOA
E01000599,Brent 027D,LSOA
E01000601,Brent 021B,LSOA
E01000602,Brent 021C,LSOA
E01000603,Brent 021D,LSOA
E01000604,Brent 021E,LSOA
E01000605,Brent 021F,LSOA
E01000606,Brent 016B,LSOA
E01000607,Brent 013C,LSOA
E01000608,Brent 013D,LSOA
E01000609,Brent 016C,LSOA
E01000610,Brent 019A,LSOA
E01000611,Brent 016D,LSOA
E01000612,Brent 019B,LSOA
E01000613,Brent 013E,LSOA
E01000615,Brent 036A,LSOA
E01000616,Brent 020A,LSOA
E01000617,Brent 036B,LSOA
E01000618,Brent 036D,LSOA
E01000619,Brent 036C,LSOA
E01000620,Brent 020B,LSOA
E01000621,Brent 020C,LSOA
E01000622,Brent 010D,LSOA
E01000623,Brent 005C,LSOA
E01000624,Brent 005D,LSOA
E01000625,Brent 009E,LSOA
E01000626,Brent 010E,LSOA
E01000627,Brent 014E,LSOA
E01000628,Brent 014F,LSOA
E01000629,Brent 005E,LSOA
E01000630,Brent 026E,LSOA
E01000631,Brent 019C,LSOA
E01000632,Brent 029E,LSOA
E01000633,Brent 019D,LSOA
E01000634,Brent 019E,LSOA
E01000636,Brent 020E,LSOA
E01000637,Brent 022B,LSOA
E01000638,Brent 024A,LSOA
E01000639,Brent 022C,LSOA
E01000640,Brent 024B,LSOA
E01000641,Brent 024C,LSOA
E01000642,Brent 022D,LSOA
E01000643,Brent 024D,LSOA
E01000644,Brent 022E,LSOA
E01000645,Bromley 007A,LSOA
E01000646,Bromley 016A,LSOA
E01000647,Bromley 016B,LSOA
E01000648,Bromley 016C,LSOA
E01000649,Bromley 007B,LSOA
E01000650,Bromley 022A,LSOA
E01000651,Bromley 020A,LSOA
E01000652,Bromley 022B,LSOA
E01000653,Bromley 016D,LSOA
E01000654,Bromley 039A,LSOA
E01000655,Bromley 039B,LSOA
E01000656,Bromley 039C,LSOA
E01000657,Bromley 039D,LSOA
E01000658,Bromley 042A,LSOA
E01000659,Bromley 039E,LSOA
